group,sample_name,replicate,fastq_1,fastq_2,species
WT,WT_R1_1,,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A1_S535_L002_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A1_S535_L002_R2_001.fastq.gz,Homo sapiens
WT,WT_R2_1,,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A11_S540_L002_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A11_S540_L002_R2_001.fastq.gz,Homo sapiens
DMSO,24h_DMSO_R2_2,,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A14_S541_L002_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A14_S541_L002_R2_001.fastq.gz,Homo sapiens
BRM014,24h_BRM014_R2_1,,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A15_S542_L002_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A15_S542_L002_R2_001.fastq.gz,Homo sapiens
DMSO,48h_DMSO_R2_1,,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A17_S543_L002_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A17_S543_L002_R2_001.fastq.gz,Homo sapiens
BRM014,48h_BRM014_R2_1,,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A19_S544_L002_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A19_S544_L002_R2_001.fastq.gz,Homo sapiens
WT,WT_R3_1,,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A21_S545_L002_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A21_S545_L002_R2_001.fastq.gz,Homo sapiens
DMSO,24h_DMSO_R3_2,,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A24_S546_L002_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A24_S546_L002_R2_001.fastq.gz,Homo sapiens
BRM014,24h_BRM014_R3_2,,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A26_S547_L002_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A26_S547_L002_R2_001.fastq.gz,Homo sapiens
DMSO,48h_DMSO_R3_2,,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A28_S548_L002_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/210723_A01366_0037_BH2NLTDMXY/fastq/PM21132/PAU3854A28_S548_L002_R2_001.fastq.gz,Homo sapiens
