sample,file,treatment,replicate,species,type
PAU616A1,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A1_S37_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A1,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A1_S37_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A1,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A1_S37_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A10,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A10_S38_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A10,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A10_S38_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A10,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A10_S38_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A11,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A11_S39_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A11,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A11_S39_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A11,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A11_S39_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A12,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A12_S40_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A12,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A12_S40_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A12,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A12_S40_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A13,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A13_S41_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A13,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A13_S41_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A13,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A13_S41_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A14,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A14_S42_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A14,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A14_S42_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
