sample_lims,sample_name,group,replicate,species,type,fastq_1,fastq_2
PAU4923A1,ASCL1_D20_Input_R1,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A1_S82_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A1_S82_L001_R2_001.fastq.gz
PAU4923A10,SMARCB1_D24_ChIP_R2,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A10_S91_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A10_S91_L001_R2_001.fastq.gz
PAU4923A11,SMARCB1_D24_Input_R3,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A11_S92_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A11_S92_L001_R2_001.fastq.gz
PAU4923A12,SMARCB1_D24_ChIP_R3,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A12_S93_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A12_S93_L001_R2_001.fastq.gz
PAU4923A2,ASCL1_D20_ChIP_R1,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A2_S83_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A2_S83_L001_R2_001.fastq.gz
PAU4923A3,ASCL1_D20_Input_R2,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A3_S84_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A3_S84_L001_R2_001.fastq.gz
PAU4923A4,ASCL1_D20_ChIP_R2,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A4_S85_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A4_S85_L001_R2_001.fastq.gz
PAU4923A5,ASCL1_D20_Input_R3,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A5_S86_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A5_S86_L001_R2_001.fastq.gz
PAU4923A6,ASCL1_D20_ChIP_R3,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A6_S87_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A6_S87_L001_R2_001.fastq.gz
PAU4923A7,SMARCB1_D24_Input_R1,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A7_S88_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A7_S88_L001_R2_001.fastq.gz
PAU4923A8,SMARCB1_D24_ChIP_R1,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A8_S89_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A8_S89_L001_R2_001.fastq.gz
PAU4923A9,SMARCB1_D24_Input_R2,,,,None,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A9_S90_L001_R1_001.fastq.gz,/camp/stp/sequencing/inputs/instruments/fastq/220701_A01366_0231_BHCGW7DMXY/fastq/PM22166/PAU4923A9_S90_L001_R2_001.fastq.gz
